racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,close_0,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,close_10,close_11,close_12,close_13,close_14,close_15,close_16,close_17,close_18,close_19,row_has_proxy_features,row_train_eligible,result_bin
-2.0,0.32743682946086605,0.9524999999999999,-0.575,-0.495,-0.5269999999999999,0.02347246543820817,0.0771739884489272,0.22292024066676688,-0.2142857142857143,0.575,-0.7435714285714285,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-5.0,0.30937056317320455,0.9524999999999999,-0.48840000000000006,-0.465,-0.47436000000000006,0.024286419227492084,0.08273937258296471,0.2193209309702491,-0.46171428571428563,0.48840000000000006,-0.7154285714285714,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2.0,0.3529872298398712,0.95,-0.48840000000000006,-0.465,-0.47436000000000006,0.03678641922749208,0.08273937258296471,0.2193209309702491,-0.46171428571428563,0.48840000000000006,-0.8054285714285714,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-5.0,0.30381010492574145,0.9524999999999999,-0.474,-0.4548,-0.46247999999999995,0.024162620228740737,0.08187023007122485,0.21653933515625984,-0.5028571428571429,0.474,-0.7257142857142858,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
-2.0,0.35548444457865797,0.9524999999999999,-0.4946,-0.4696,-0.4796,0.03684264317369511,0.08313684876080252,0.22055528165045157,-0.44399999999999995,0.4946,-0.8009999999999999,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
1.0,0.11081020014377692,0.95,-0.01719999999999999,0.12680000000000008,0.06920000000000005,0.010479187458354335,0.02140269622552904,0.06811963239694135,-0.9279999999999999,0.01719999999999999,-0.952,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-6.0,0.13077870780187165,0.95,-0.08780000000000002,0.07120000000000004,0.0076000000000000165,0.012047077852567279,0.02584242438038853,0.07849560299930908,-0.9205,0.08780000000000002,-0.800125,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-1.0,0.12027870780187165,0.95,-0.08780000000000002,0.07120000000000004,0.0076000000000000165,0.012047077852567279,0.02584242438038853,0.07849560299930908,-0.9205,0.08780000000000002,-0.950125,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-3.0,0.13297610730429252,0.9524999999999999,-0.14900000000000005,0.02079999999999998,-0.04712000000000003,0.013469307414142193,0.03026234438342612,0.08785311922565295,-0.9151,0.14900000000000005,-0.888775,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
-6.0,0.14775436014452034,0.95,-0.1928,-0.016599999999999965,-0.08707999999999999,0.014526067547045347,0.03381787859965879,0.09739031002701246,-0.8953,0.1928,-0.793825,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
