racha_actual,puntaje_estrategia,payout,ret_1m,ret_3m,ret_5m,slope_5m,rv_20,range_norm,bb_z,body_ratio,wick_imbalance,micro_trend_persist,ts_ingest,result_bin
-1.0,0.16787205875520572,0.9550000000000001,0.0002195166031527,0.0011833887925674,0.0019395094397946,0.0004490806627819,0.0003308835460907,0.0004927353472408,2.42051715248276,0.6935668744178277,-0.3064331255821723,1.0,1773792963.0136466,1
-1.0,0.1669048360961779,0.9550000000000001,0.0002666424016435,0.0012305600043358,0.001986716276532,0.0004585060459099,0.0003221085280568,0.0004172466707361,1.2390883339557863,0.6585510186827754,-0.1406994110520807,0.2631578947368421,1773792968.5828874,1
-1.0,0.1688356322687815,0.9550000000000001,0.000174919391304,0.0011387486041405,0.0018948355378957,0.0004401608452628,0.0003294815508606,0.0004974416570952,2.3642045420182995,0.4387803984556733,0.0790712091750213,1.0,1773792968.6527772,1
-3.0,0.11971490431484179,0.9537500000000001,0.000393901971639,-8.778720381792595e-05,0.0008387452371252,2.2088179204867646e-05,0.0009127354824881,0.00135318982576,0.2591696511652667,0.1046511627908698,-0.3682170542635057,0.6,1773792991.6624897,1
1.0,0.13508809935135274,0.95,0.0008381292954126,0.0015336443223208,0.0010858456821665,0.0001987545777409,0.0009186948124023,0.0013340071930608,0.924110976524901,0.755102040816405,-0.244897959183595,0.6,1773793022.74233,1
-2.0,0.08668243380303442,0.9550000000000001,0.0009764871473537,0.0016720983236414,0.0012242377789132,0.0002264196324711,0.0009258586183271,0.00135648687806,1.0344003394908603,0.6158415841584743,0.0514851485148974,0.6,1773793037.5126462,0
1.0,0.19727612140451992,0.95,0.0002458024117312,0.0002539979065655,0.0001792189943458,4.9978349542833285e-05,0.0001618327032342,0.0002044077709227,1.6116546617648837,0.8624535315988248,0.1375464684011753,-0.2,1773793104.6106434,1
1.0,0.19767561456791738,0.95,0.000248874941878,0.000257070461887,0.0001822913199633,5.0592806358394417e-05,0.0001620205180919,0.0002754349876155,0.8110156589886472,0.8736059479559509,0.1263940520440491,0.1052631578947368,1773793110.161656,1
1.0,0.19767561456791738,0.95,0.000248874941878,0.000257070461887,0.0001822913199633,5.0592806358394417e-05,0.0001620796691637,0.0002044071430299,1.6220313179772945,0.8736059479559509,0.1263940520440491,-0.2,1773793110.2631283,1
2.0,0.2002127633079835,0.95,3.481277383063847e-05,0.0003902465005849,0.0003000837776553,9.71852927212988e-05,0.0001628552606961,0.0002049894452529,1.721064537458154,0.3388429752082391,-0.3305785123966321,0.2,1773793164.706877,0
1.0,0.1983553971534447,0.95,3.686058405582772e-05,0.0003922950386456,0.0003021321310863,9.759488516777756e-05,0.0001628789760959,0.0002052045765147,1.7275212982984542,0.3440000000002328,-0.3039999999979045,0.2,1773793167.4878044,0
-3.0,0.23278227967134146,0.9524999999999999,-0.0007896207390849,-0.0016507057981041,-0.0074034742628203,-0.0009239137033035,0.0015083130349257,0.0019122642783146,-1.4850076247471853,0.992424242424078,0.0075757575759219,-0.6,1773793200.9512758,1
2.0,0.2193376027935769,0.95,-6.962127052660015e-05,-8.191240901315741e-06,0.0003472272013079,5.754519960401307e-05,0.0001549266178847,8.088916648311864e-05,0.6394953073403867,0.658227848100304,-0.341772151899696,-0.0526315789473684,1773793249.8803384,0
2.0,0.21751920602823174,0.95,-7.474048159485576e-05,-1.3310766464754486e-05,0.0003421058561557,5.6521321542188345e-05,0.0001566284588477,0.0002000413878733,1.2633016451150925,0.7215189873422676,-0.2784810126577324,0.4,1773793249.9288611,0
2.0,0.21053499769739634,0.95,1.4333790990929468e-05,7.576897833721717e-05,0.0004312172618012,7.43365006552916e-05,0.0001557218042864,0.000206382077457,1.528283145582271,0.1408450704231005,-0.2769953051644916,0.8,1773793282.381171,1
-1.0,0.24512211442831028,0.9550000000000001,6.96221259116445e-05,5.73351639633454e-05,0.0003840662683302,2.252460249708488e-05,0.0001518882248107,0.0001993144853351,1.5016692374424527,0.963636363635642,-0.0363636363643579,0.4,1773793304.7979665,1
-1.0,0.24318348954779404,0.9550000000000001,5.32404492265736e-05,4.095368854529992e-05,0.0003676794408814,1.9248359742844152e-05,0.0001515391088837,0.0001993177502667,1.4565928882447237,0.672727272727393,0.2545454545438911,0.4,1773793307.7179375,1
1.0,0.16078444403207964,0.95,0.0007659023823443,0.0009313583424661,0.001801404659576,0.0001651754964979,0.0005069383049124,0.0008876183667218,1.367239036699118,0.8329776406080895,-0.1670223593919104,0.6,1773793346.0259984,0
-1.0,0.26092279448890915,0.9550000000000001,1.8427329777570972e-05,0.0001177418545674,0.0001791833947164,3.347826932708756e-05,0.0001331067683287,0.0001207991580913,0.7531029972749457,0.0932203389835211,0.9067796610164788,0.1052631578947368,1773793390.8643382,1
-1.0,0.26092279448890915,0.9550000000000001,1.8427329777570972e-05,0.0001177418545674,0.0001791833947164,3.347826932708756e-05,0.0001385312689639,0.0001960696415228,1.5062059945498911,0.0932203389835211,0.9067796610164788,0.4,1773793390.923425,1
3.0,0.26961272415917187,0.95,8.597809810307193e-05,0.0003849694020995,0.000372678565761,0.0001044163189194,0.0001434352137329,0.0001983359281655,1.850424369741915,0.5647668393782286,-0.2797927461143998,0.4,1773793445.440576,1
1.0,0.2654127241591719,0.95,8.597809810307193e-05,0.0003849694020995,0.000372678565761,0.0001044163189194,0.0001434352137329,0.0001983359281655,1.850424369741915,0.5647668393782286,-0.2797927461143998,0.4,1773793445.489257,1
1.0,0.30053137092628995,0.95,0.0006351926738224,0.0010682290134748,0.0012337349570572,0.0002711205158,0.0004931725231133,0.0008910784258174,1.7036190117555334,0.8876905041031864,0.0084407971865294,0.6,1773793452.745194,1
-1.0,0.11794537596873679,0.9550000000000001,0.0005704026561965,0.0005806103102403,-0.0001601219588923,0.0001188569596603,0.000391035122333,0.0005420329908751,1.0506168907328368,0.9260012154998504,0.0739987845001495,0.2,1773793519.0154076,0
1.0,0.3329051409892584,0.95,0.0008682956222141,0.0016604375647117,0.0021659421591587,0.0004976211256385,0.000535754497869,0.0011498486431915,1.1786523349773756,0.7705133712812003,-0.2294866287187996,0.1052631578947368,1773793532.434137,0
1.0,0.32937080300584176,0.95,0.0007495152531112,0.0015415631863243,0.0020470077888398,0.0004738671059514,0.0005325699963907,0.0009552760224143,2.277357072730047,0.6673021157769524,-0.1262753732145517,0.6,1773793532.4835076,0
2.0,0.2387856414342653,0.95,-0.0004068372954427,-0.0009043072945432,0.0008876890899363,-8.985380543008513e-05,0.0013651371561214,0.0017395936109819,-0.91479525376674,0.1420765027322411,0.6612021857922716,0.2,1773793589.2876256,1
4.0,0.2310551110500851,0.95,-0.0005405832224833,-0.0017653589259823,-0.0006255655902484,-0.0003885966318387,0.001369125921029,0.001724660729296,-1.031009607231756,0.8248587570621759,-0.0734463276836782,-0.2,1773793622.0544505,1
2.0,0.22895902654543632,0.95,-0.0006377667231545,-0.0018624233342838,-0.0007227408275686,-0.0004080343914701,0.0013713252548609,0.0017248284448265,-1.071482546518708,0.9152542372882118,0.0169491525423576,-0.2,1773793624.8816395,1
